dataset,shots_coef,shot_scale_2_pow_k,circuit_size,n_circuits,volume_shape,iteration,run_npz,mean_accuracy,avg_data_recErr,n_voxels,n_errors,tn,fp,fn,tp,error_rate,precision_inside,recall_inside,f1_inside,mae_ev,mae_ev_incorrect,mean_abs_dist_to_iso_errors,n_boundary,n_errors_boundary,error_rate_boundary,n_tris_classical,n_tris_quantum,n_tris_delta,boundary_eps
sphere_32,12,4096,256,128,32x32x32,1,C:\Users\waffles\Documents\school_work\QC-Classes\Marching-Qubes-Thesis\classification_runs\volume3d_sphere_32_sc12_circ256_iter01.npz,0.998077,0.013874,32768,63,1060,28,35,31645,0.001923,0.968037,0.974265,0.971141,0.011091,0.021796,0.012418,1352,63,0.046598,1484,1624,140,0.1
torus_32,12,4096,256,128,32x32x32,1,C:\Users\waffles\Documents\school_work\QC-Classes\Marching-Qubes-Thesis\classification_runs\volume3d_torus_32_sc12_circ256_iter01.npz,0.997864,0.013717,32768,70,950,10,60,31748,0.002136,0.940594,0.989583,0.964467,0.010931,0.020914,0.012215,864,70,0.081019,2192,2492,300,0.1
