dataset,circuit_size,n_circuits,volume_shape,iterations,iterations_completed,mean_accuracy,mean_accuracy_sem,avg_data_recErr,avg_preprocess_s,avg_classification_s,avg_postprocess_s,avg_total_s,total_time_5iter_s
sphere_32,256,128,32x32x32,1,1,0.998016,0.0,0.013873,0.0,344.55,0.0,344.55,344.55
torus_32,256,128,32x32x32,1,1,0.997681,0.0,0.013717,0.0,350.02,0.0,350.02,350.02
