dataset,circuit_size,n_circuits,volume_shape,iterations,iterations_completed,mean_accuracy,mean_accuracy_sem,avg_data_recErr,avg_preprocess_s,avg_classification_s,avg_postprocess_s,avg_total_s,total_time_5iter_s,run_npz
sphere_32,256,128,32x32x32,1,1,0.998077,0.0,0.013874,0.0,350.8,0.0,350.8,350.8,classification_runs\volume3d_sphere_32_sc12_circ256_iter01.npz
torus_32,256,128,32x32x32,1,1,0.997864,0.0,0.013717,0.0,349.39,0.0,349.39,349.39,classification_runs\volume3d_torus_32_sc12_circ256_iter01.npz
