image_path,shots_coef,shot_scale_2_pow_k,tile_size,iterations,mean_accuracy,avg_preprocess_s,avg_classification_s,avg_postprocess_s,avg_total_s,total_time_5iter_s
test_images\Plant_tissue_sections_2_64x64.jpg,8,256,8x8,5,0.924463,0.0,8.05,0.0,8.05,40.24
test_images\Plant_tissue_sections_2_64x64.jpg,10,1024,8x8,5,0.966504,0.0,15.07,0.0,15.07,75.37
test_images\Plant_tissue_sections_2_64x64.jpg,12,4096,8x8,5,0.982031,0.0,42.33,0.0,42.33,211.65
