image_path,shots_coef,shot_scale_2_pow_k,tile_size,iterations,mean_accuracy,avg_preprocess_s,avg_classification_s,avg_postprocess_s,avg_total_s,total_time_5iter_s
test_images\Plant_tissue_sections_2_64x64.jpg,8,256,8x8,5,0.915625,0.0,8.14,0.0,8.15,40.73
test_images\Plant_tissue_sections_2_64x64.jpg,10,1024,8x8,5,0.959863,0.0,15.37,0.0,15.38,76.88
test_images\Plant_tissue_sections_2_64x64.jpg,12,4096,8x8,5,0.980225,0.0,43.4,0.0,43.4,217.02
