x,y,z,value,isolevel,classical_residual,quantum_ev,y_true,y_pred,abs_ev_err,abs_dist_to_iso,error_kind
5,12,14,0.47500230145767997,0.5,-0.02499769814312458,0.003087152695321782,1,0,0.028084850838446362,0.024997698542320035,false_inside
5,13,14,0.519293785979208,0.5,0.019293785095214844,-0.000741289844329085,0,1,0.02003507493954393,0.019293785979207945,false_outside
5,18,17,0.519293785979208,0.5,0.019293785095214844,-0.015873015873015817,0,1,0.03516680096823066,0.019293785979207945,false_outside
6,17,13,0.47543332682088013,0.5,-0.02456667274236679,0.008436724565756837,1,0,0.03300339730812363,0.02456667317911987,false_inside
6,21,14,0.48989028716212046,0.5,-0.010109713301062584,0.0056111246645523805,1,0,0.015720837965614964,0.010109712837879536,false_inside
7,15,13,0.4847098318649744,0.5,-0.01529016811400652,0.007801072647489082,1,0,0.0230912407614956,0.015290168135025595,false_inside
7,15,18,0.4847098318649744,0.5,-0.01529016811400652,0.0004911591355599709,1,0,0.01578132724956649,0.015290168135025595,false_inside
7,17,13,0.4883297152905447,0.5,-0.011670284904539585,0.002196729314132284,1,0,0.01386701421867187,0.011670284709455303,false_inside
7,19,13,0.49050778824273766,0.5,-0.009492211975157261,0.013474494706448459,1,0,0.02296670668160572,0.009492211757262337,false_inside
8,7,16,0.5073400535751389,0.5,0.0073400535620749,-0.007468079980727627,0,1,0.014808133542802526,0.007340053575138894,false_outside
9,9,18,0.49050778824273766,0.5,-0.009492211975157261,0.002263012320844804,1,0,0.011755224296002065,0.009492211757262337,false_inside
9,10,18,0.4847098318649744,0.5,-0.01529016811400652,0.000475285171102624,1,0,0.015765453285109143,0.015290168135025595,false_inside
9,13,14,0.4933754144956046,0.5,-0.0066245854832232,0.009013282732447836,1,0,0.015637868215671036,0.006624585504395375,false_inside
9,15,15,0.494422874277619,0.5,-0.005577125586569309,0.01053159478435306,1,0,0.01610872037092237,0.0055771257223810045,false_inside
9,15,16,0.494422874277619,0.5,-0.005577125586569309,0.007973733583489628,1,0,0.013550859170058938,0.0055771257223810045,false_inside
9,21,13,0.4847098318649744,0.5,-0.01529016811400652,0.01532567049808431,1,0,0.03061583861209083,0.015290168135025595,false_inside
9,21,18,0.4847098318649744,0.5,-0.01529016811400652,0.0002466091245375557,1,0,0.015536777238544075,0.015290168135025595,false_inside
9,25,15,0.47252321883836546,0.5,-0.027476781979203224,0.002465483234713961,1,0,0.029942265213917185,0.027476781161634545,false_inside
10,9,18,0.4847098318649744,0.5,-0.01529016811400652,0.00341630063445586,1,0,0.01870646874846238,0.015290168135025595,false_inside
10,19,16,0.494422874277619,0.5,-0.005577125586569309,0.02268244575936884,1,0,0.02825957134593815,0.0055771257223810045,false_inside
10,22,13,0.4847098318649744,0.5,-0.01529016811400652,0.005100801554529966,1,0,0.020390969668536485,0.015290168135025595,false_inside
10,23,18,0.4880100292258599,0.5,-0.011989970691502094,0.0034129692832765013,1,0,0.015402939974778596,0.011989970774140102,false_inside
10,25,17,0.48989028716212046,0.5,-0.010109713301062584,0.0,1,0,0.010109713301062584,0.010109712837879536,false_inside
11,8,13,0.4908469907959553,0.5,-0.00915300939232111,0.0181203189176129,1,0,0.02727332830993401,0.009153009204044715,false_inside
11,26,16,0.48987718689283266,0.5,-0.010122813284397125,0.0068126520681265346,1,0,0.01693546535252366,0.010122813107167339,false_inside
12,10,16,0.494422874277619,0.5,-0.005577125586569309,0.015904572564612307,1,0,0.021481698151181616,0.0055771257223810045,false_inside
12,21,15,0.494422874277619,0.5,-0.005577125586569309,0.0007434944237918462,1,0,0.006320620010361155,0.0055771257223810045,false_inside
12,24,18,0.49050778824273766,0.5,-0.009492211975157261,0.0028612303290415086,1,0,0.01235344230419877,0.009492211757262337,false_inside
13,5,14,0.519293785979208,0.5,0.019293785095214844,-0.0007182188173329163,0,1,0.02001200391254776,0.019293785979207945,false_outside
13,9,14,0.4933754144956046,0.5,-0.0066245854832232,0.009097614949594268,1,0,0.015722200432817468,0.006624585504395375,false_inside
13,22,14,0.4933754144956046,0.5,-0.0066245854832232,0.005663629647869928,1,0,0.012288215131093128,0.006624585504395375,false_inside
14,24,13,0.4883297152905447,0.5,-0.011670284904539585,0.004676347526458291,1,0,0.016346632430997876,0.011670284709455303,false_inside
15,9,15,0.494422874277619,0.5,-0.005577125586569309,0.010877447425670761,1,0,0.01645457301224007,0.0055771257223810045,false_inside
15,9,16,0.494422874277619,0.5,-0.005577125586569309,0.00537109375,1,0,0.01094821933656931,0.0055771257223810045,false_inside
15,24,13,0.4847098318649744,0.5,-0.01529016811400652,0.010115606936416222,1,0,0.02540577505042274,0.015290168135025595,false_inside
16,6,18,0.4804254160388024,0.5,-0.019574584439396858,0.00811808118081181,1,0,0.027692665620208667,0.0195745839611976,false_inside
16,7,13,0.4847098318649744,0.5,-0.01529016811400652,0.005993766482857876,1,0,0.021283934596864396,0.015290168135025595,false_inside
16,27,16,0.47252321883836546,0.5,-0.027476781979203224,0.0058651026392961825,1,0,0.03334188461849941,0.027476781161634545,false_inside
17,7,13,0.4883297152905447,0.5,-0.011670284904539585,0.02868350085805349,1,0,0.040353785762593075,0.011670284709455303,false_inside
17,22,15,0.5245258150695509,0.5,0.02452581562101841,-0.0012168410805548646,0,1,0.025742656701573274,0.02452581506955087,false_outside
17,24,13,0.4883297152905447,0.5,-0.011670284904539585,0.03563636363636369,1,0,0.04730664854090327,0.011670284709455303,false_inside
18,7,18,0.49228930630496714,0.5,-0.007710693869739771,0.007659995058067692,1,0,0.015370688927807463,0.007710693695032855,false_inside
19,5,14,0.47500230145767997,0.5,-0.02499769814312458,0.013398294762484775,1,0,0.038395992905609355,0.024997698542320035,false_inside
19,21,15,0.494422874277619,0.5,-0.005577125586569309,0.006856023506366271,1,0,0.01243314909293558,0.0055771257223810045,false_inside
19,24,13,0.49050778824273766,0.5,-0.009492211975157261,0.010373944511459565,1,0,0.019866156486616826,0.009492211757262337,false_inside
20,8,13,0.4908469907959553,0.5,-0.00915300939232111,0.0009685230024213398,1,0,0.01012153239474245,0.009153009204044715,false_inside
21,12,15,0.494422874277619,0.5,-0.005577125586569309,0.009084213110729156,1,0,0.014661338697298465,0.0055771257223810045,false_inside
21,22,18,0.4847098318649744,0.5,-0.01529016811400652,0.002449779519843265,1,0,0.017739947633849784,0.015290168135025595,false_inside
22,15,16,0.494422874277619,0.5,-0.005577125586569309,0.008699975142928196,1,0,0.014277100729497505,0.0055771257223810045,false_inside
22,16,16,0.494422874277619,0.5,-0.005577125586569309,0.001007556675063026,1,0,0.006584682261632335,0.0055771257223810045,false_inside
23,10,18,0.4880100292258599,0.5,-0.011989970691502094,0.009396636993076135,1,0,0.02138660768457823,0.011989970774140102,false_inside
23,11,18,0.4908469907959553,0.5,-0.00915300939232111,0.01015473887814311,1,0,0.01930774827046422,0.009153009204044715,false_inside
23,20,13,0.4908469907959553,0.5,-0.00915300939232111,0.0316961045245584,1,0,0.04084911391687951,0.009153009204044715,false_inside
